City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Wind deg,Sunrise,Sunset,Visibility,Temp
launceston,-41.45,147.1667,57.2,72.0,90.0,6.91,AU,1612035083.0,150.0,1612034124.0,1612085636.0,10000.0,57.06
berbera,10.4396,45.0143,74.48,75.0,0.0,7.02,SO,1612035290.0,50.0,1611976982.0,1612018996.0,10000.0,74.48
salalah,17.0151,54.0924,71.6,56.0,0.0,5.75,OM,1612035267.0,360.0,1611975331.0,1612016289.0,10000.0,71.6
krasnoselkup,65.7,82.4667,-31.32,81.0,90.0,8.55,RU,1612035291.0,155.0,1612063659.0,1612087160.0,10000.0,-31.32
muncie,40.1934,-85.3864,35.6,51.0,75.0,16.11,US,1612035156.0,130.0,1612011122.0,1612047456.0,10000.0,33.58
kandrian,-6.2167,149.55,81.27,77.0,100.0,16.46,PG,1612035292.0,342.0,1612037027.0,1612081589.0,10000.0,81.27
sungairaya,0.7,108.9,76.64,89.0,100.0,8.55,ID,1612035292.0,22.0,1612047309.0,1612090821.0,10000.0,76.64
kuusamo,65.9667,29.1833,12.2,79.0,90.0,4.61,FI,1612035293.0,70.0,1611990378.0,1612013200.0,10000.0,12.2
saint-pierre,-21.3393,55.4781,78.8,65.0,0.0,4.61,RE,1612035293.0,80.0,1611971938.0,1612019017.0,10000.0,74.71
nuuk,64.1835,-51.7216,19.4,68.0,20.0,5.75,GL,1612035293.0,50.0,1612008791.0,1612033626.0,10000.0,19.2
wadi musa,30.3222,35.4793,45.18,55.0,0.0,5.55,JO,1612035294.0,218.0,1611981002.0,1612019553.0,10000.0,45.18
buala,-8.145,159.5921,81.86,83.0,100.0,14.58,SB,1612035294.0,328.0,1612034467.0,1612079327.0,10000.0,81.86
princeton,25.5384,-80.4089,75.2,56.0,90.0,11.5,US,1612035295.0,70.0,1612008345.0,1612047844.0,10000.0,72.77
ayan,56.45,138.1667,-5.78,82.0,100.0,5.7,RU,1612035295.0,319.0,1612046796.0,1612077284.0,10000.0,-5.78
kavieng,-2.5744,150.7967,82.51,74.0,100.0,14.72,PG,1612035296.0,15.0,1612037005.0,1612081012.0,10000.0,82.51
aksu,41.1231,80.2644,18.43,82.0,0.0,1.61,CN,1612035297.0,349.0,1612057858.0,1612094018.0,10000.0,18.43
xuanhua,40.6103,115.0447,24.28,82.0,0.0,1.32,CN,1612035297.0,172.0,1612049449.0,1612085731.0,10000.0,24.28
catamarca,-28.4696,-65.7852,73.0,83.0,59.0,13.4,AR,1612035044.0,211.0,1612000372.0,1612048796.0,10000.0,70.39
kitakata,37.65,139.8667,28.99,80.0,92.0,4.97,JP,1612035299.0,313.0,1612043125.0,1612080139.0,1659.0,27.97
